1;1;français;Le policier;a découvert;que ;;;;le condamné;au crâne rasé;a introduit clandestinement;une arme à feu ;dans la prison .;;;;;
1;2;français;Le policier;a découvert;que ;;;;le condamné;au crâne rasé;a introduit clandestinement;;dans la prison .;;;;;
1;3;français;Le policier;a découvert;ce que;;;;le condamné;au crâne rasé;a introduit clandestinement;une arme à feu ;dans la prison .;;;;;
1;4;français;Le policier;a découvert;ce que;;;;le condamné;au crâne rasé;a introduit clandestinement;;dans la prison .;;;;;
1;5;français;Le policier;a découvert;que;l'émeute;a éclaté;après que;le condamné;;ait introduit clandestinement;une arme à feu ;dans la prison .;;;;;
1;6;français;Le policier;a découvert;que;l'émeute;a éclaté;après que;le condamné;;ait introduit clandestinement;;dans la prison .;;;;;
1;7;français;Le policier;a découvert;ce que;l'émeute;a éclaté;après que;le condamné;;ait introduit clandestinement;une arme à feu ;dans la prison .;;;;;
1;8;français;Le policier;a découvert;ce que;l'émeute;a éclaté;après que;le condamné;;ait introduit clandestinement;;dans la prison .;;;;;
2;1;français;Le propriétaire du magasin;s'est rendu compte;que;;;;le serveur;en veste blanche;a placé;une bougie ;près de la nappe .;;;;;
2;2;français;Le propriétaire du magasin;s'est rendu compte;que;;;;le serveur;en veste blanche;a placé;;près de la nappe .;;;;;
2;3;français;Le propriétaire du magasin;s'est rendu compte;ce que;;;;le serveur;en veste blanche;a placé;une bougie ;près de la nappe .;;;;;
2;4;français;Le propriétaire du magasin;s'est rendu compte;ce que;;;;le serveur;en veste blanche;a placé;;près de la nappe .;;;;;
2;5;français;Le propriétaire du magasin;s'est rendu compte;que;le feu;a commencé;après que;le serveur;;ait placé;une bougie ;près de la nappe .;;;;;
2;6;français;Le propriétaire du magasin;s'est rendu compte;que;le feu;a commencé;après que;le serveur;;ait placé;;près de la nappe .;;;;;
2;7;français;Le propriétaire du magasin;s'est rendu compte;ce que;le feu;a commencé;après que;le serveur;;ait placé;une bougie ;près de la nappe .;;;;;
2;8;français;Le propriétaire du magasin;s'est rendu compte;ce que;le feu;a commencé;après que;le serveur;;ait placé;;près de la nappe .;;;;;
3;1;français;Le comité;a demandé;que;;;;le banquier;de la grande entreprise;vende;une hypothèque avec un crédit défectueux .;avec un crédit défectueux .;;;;;
3;2;français;Le comité;a demandé;que;;;;le banquier;de la grande entreprise;vende;;avec un crédit défectueux .;;;;;
3;3;français;Le comité;a demandé;ce que;;;;le banquier;de la grande entreprise;vende;une hypothèque avec un crédit défectueux .;avec un crédit défectueux .;;;;;
3;4;français;Le comité;a demandé;ce que;;;;le banquier;de la grande entreprise;vende;;avec un crédit défectueux .;;;;;
3;5;français;Le comité;a demandé;que;le règlement;entre en vigueur;avant que;le banquier;;ne vende;une hypothèque avec un crédit défectueux .;avec un crédit défectueux .;;;;;
3;6;français;Le comité;a demandé;que;le règlement;entre en vigueur;avant que;le banquier;;ne vende;;avec un crédit défectueux .;;;;;
3;7;français;Le comité;a demandé;ce que;le règlement;entre en vigueur;avant que;le banquier;;ne vende;une hypothèque avec un crédit défectueux .;avec un crédit défectueux .;;;;;
3;8;français;Le comité;a demandé;ce que;le règlement;entre en vigueur;avant que;le banquier;;ne vende;;avec un crédit défectueux .;;;;;
4;1;français;Le premier partenaire;a dit;que;;;;le marin;en veste de pluie;tirait;une corde;de toutes ses forces .;;;;;
4;2;français;Le premier partenaire;a dit;que;;;;le marin;en veste de pluie;tirait;;de toutes ses forces .;;;;;
4;3;français;Le premier partenaire;a dit;ce que;;;;le marin;en veste de pluie;tirait;une corde;de toutes ses forces .;;;;;
4;4;français;Le premier partenaire;a dit;ce que;;;;le marin;en veste de pluie;tirait;;de toutes ses forces .;;;;;
4;5;français;Le premier partenaire;a dit;que;le capitaine;serrait la roue;pendant que;le marin;;tirait;une corde;de toutes ses forces .;;;;;
4;6;français;Le premier partenaire;a dit;que;le capitaine;serrait la roue;pendant que;le marin;;tirait;;de toutes ses forces .;;;;;
4;7;français;Le premier partenaire;a dit;ce que;le capitaine;serrait la roue;pendant que;le marin;;tirait;une corde;de toutes ses forces .;;;;;
4;8;français;Le premier partenaire;a dit;ce que;le capitaine;serrait la roue;pendant que;le marin;;tirait;;de toutes ses forces .;;;;;
5;1;français;Le journal;a déclaré;que;;;;le footballeur;de l'équipe rivale;a marqué;un but;a marqué durant le championnat .;;;;;
5;2;français;Le journal;a déclaré;que;;;;le footballeur;de l'équipe rivale;a marqué;;a marqué durant le championnat .;;;;;
5;3;français;Le journal;a déclaré;ce que;;;;le footballeur;de l'équipe rivale;a marqué;un but;a marqué durant le championnat .;;;;;
5;4;français;Le journal;a déclaré;ce que;;;;le footballeur;de l'équipe rivale;a marqué;;a marqué durant le championnat .;;;;;
5;5;français;Le journal;a déclaré;que;les fans;se sont révoltés;après que;le footballeur;;ait marqué;un but;a marqué durant le championnat .;;;;;
5;6;français;Le journal;a déclaré;que;les fans;se sont révoltés;après que;le footballeur;;ait marqué;;a marqué durant le championnat .;;;;;
5;7;français;Le journal;a déclaré;ce que;les fans;se sont révoltés;après que;le footballeur;;ait marqué;un but;a marqué durant le championnat .;;;;;
5;8;français;Le journal;a déclaré;ce que;les fans;se sont révoltés;après que;le footballeur;;ait marqué;;a marqué durant le championnat .;;;;;
6;1;français;Le mari;a vu;que;;;;la femme de ménage;du nouveau service de nettoyage;a cassé;un vase ;dans le couloir .;;;;;
6;2;français;Le mari;a vu;que;;;;la femme de ménage;du nouveau service de nettoyage;a cassé;;dans le couloir .;;;;;
6;3;français;Le mari;a vu;ce que;;;;la femme de ménage;du nouveau service de nettoyage;a cassé;un vase ;dans le couloir .;;;;;
6;4;français;Le mari;a vu;ce que;;;;la femme de ménage;du nouveau service de nettoyage;a cassé;;dans le couloir .;;;;;
6;5;français;Le mari;a vu;que;la femmme;;après que;la femme de ménage;;ait cassé;un vase ;dans le couloir .;;;;;
6;6;français;Le mari;a vu;que;la femmme;;après que;la femme de ménage;;ait cassé;;dans le couloir .;;;;;
6;7;français;Le mari;a vu;ce que;la femmme;;après que;la femme de ménage;;ait cassé;un vase ;dans le couloir .;;;;;
6;8;français;Le mari;a vu;ce que;la femmme;;après que;la femme de ménage;;ait cassé;;dans le couloir .;;;;;
7;1;français;L'administrateur;a découvert;que;;;;les étudiants  ;qui étaient tous très diligents;ont écrit;sur la philosophie ; pour leur mémoire .;;;;;
7;2;français;L'administrateur;a découvert;que;;;;les étudiants;qui étaient tous très diligents;ont écrit;; pour leur mémoire .;;;;;
7;3;français;L'administrateur;a découvert;ce que;;;;les étudiants;qui étaient tous très diligents;ont écrit;sur la philosophie ; pour leur mémoire .;;;;;
7;4;français;L'administrateur;a découvert;ce que;;;;les étudiants;qui étaient tous très diligents;ont écrit;; pour leur mémoire .;;;;;
7;5;français;L'administrateur;a découvert;que;le professeur;était impressionné;après que;les étudiants;;aient écrit;sur la philosophie ; pour leur mémoire .;;;;;
7;6;français;L'administrateur;a découvert;que;le professeur;était impressionné;après que;les étudiants;;aient écrit;; pour leur mémoire .;;;;;
7;7;français;L'administrateur;a découvert;ce que;le professeur;était impressionné;après que;les étudiants;;aient écrit;sur la philosophie ; pour leur mémoire .;;;;;
7;8;français;L'administrateur;a découvert;ce que;le professeur;était impressionné;après que;les étudiants;;aient écrit;; pour leur mémoire .;;;;;
8;1;français;Ma mère;s'est souvenue;que;;;;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;son chat ;de l'immeuble en flammes .;;;;;
8;2;français;Ma mère;s'est souvenue;que;;;;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;;de l'immeuble en flammes .;;;;;
8;3;français;Ma mère;s'est souvenue;ce que;;;;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;son chat ;de l'immeuble en flammes .;;;;;
8;4;français;Ma mère;s'est souvenue;ce que;;;;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;;de l'immeuble en flammes .;;;;;
8;5;français;Ma mère;s'est souvenue;que;cette dame;a failli avoir une crise cardiaque;après que;le pompier;;ait sauvé;son chat ;de l'immeuble en flammes .;;;;;
8;6;français;Ma mère;s'est souvenue;que;cette dame;a failli avoir une crise cardiaque;après que;le pompier;;ait sauvé;;de l'immeuble en flammes .;;;;;
8;7;français;Ma mère;s'est souvenue;ce que;cette dame;a failli avoir une crise cardiaque;après que;le pompier;;ait sauvé;son chat ;de l'immeuble en flammes .;;;;;
8;8;français;Ma mère;s'est souvenue;ce que;cette dame;a failli avoir une crise cardiaque;après que;le pompier;;ait sauvé;;de l'immeuble en flammes .;;;;;
9;1;français;Notre ami;a dit;que;;;;le client;qui n'avait jamais possédé de véhicule auparavant; a acheté;la nouvelle voiture; à crédit .;;;;;
9;2;français;Notre ami;a dit;que;;;;le client;qui n'avait jamais possédé de véhicule auparavant; a acheté;; à crédit .;;;;;
9;3;français;Notre ami;a dit;ce que;;;;le client;qui n'avait jamais possédé de véhicule auparavant; a acheté;la nouvelle voiture; à crédit .;;;;;
