1;1;français;Le policier;a découvert;que ;le condamné;au crâne rasé;a introduit clandestinement;une arme à feu ;dans la prison;;.;;;;
1;2;français;Le policier;a découvert;que ;le condamné;au crâne rasé;a introduit clandestinement;;dans la prison;;.;;;;
1;3;français;Le policier;a découvert;ce que;le condamné;au crâne rasé;a introduit clandestinement;une arme à feu ;dans la prison;;.;;;;
1;4;français;Le policier;a découvert;ce que;le condamné;au crâne rasé;a introduit clandestinement;;dans la prison;;.;;;;
1;9;français;Le policier;a découvert;qu'après que;le condamné;;ait introduit clandestinement;une arme à feu ;dans la prison;où l'émeute a éclaté ;.;;;;
1;10;français;Le policier;a découvert;qu'après que;le condamné;;ait introduit clandestinement;;dans la prison;où l'émeute a éclaté ;.;;;;
1;11;français;Le policier;a découvert;qu'après ce que;le condamné;;ait introduit clandestinement;une arme à feu ;dans la prison;où l'émeute a éclaté ;.;;;;
1;12;français;Le policier;a découvert;qu'après ce que;le condamné;;ait introduit clandestinement;;dans la prison;où l'émeute a éclaté ;.;;;;
2;1;français;Le propriétaire du magasin;s'est rendu compte;que;le serveur;en veste blanche;a placé;une bougie;près de la nappe;;.;;;;
2;2;français;Le propriétaire du magasin;s'est rendu compte;que;le serveur;en veste blanche;a placé;;près de la nappe;;.;;;;
2;3;français;Le propriétaire du magasin;s'est rendu compte;ce que;le serveur;en veste blanche;a placé;une bougie;près de la nappe;;.;;;;
2;4;français;Le propriétaire du magasin;s'est rendu compte;ce que;le serveur;en veste blanche;a placé;;près de la nappe;;.;;;;
2;9;français;Le propriétaire du magasin;s'est rendu compte;qu'après que;le serveur;;ait placé;une bougie;près de la nappe; le feu a commencé;.;;;;
2;10;français;Le propriétaire du magasin;s'est rendu compte;qu'après que;le serveur;;ait placé;;près de la nappe; le feu a commencé;.;;;;
2;11;français;Le propriétaire du magasin;s'est rendu compte;qu'après ce que;le serveur;;ait placé;une bougie;près de la nappe; le feu a commencé;.;;;;
2;12;français;Le propriétaire du magasin;s'est rendu compte;qu'après ce que;le serveur;;ait placé;;près de la nappe; le feu a commencé;.;;;;
3;1;français;Le comité;a demandé;que;le banquier;de la grande entreprise;ne vende;une hypothèque ;avec un crédit défectueux ;;.;;;;
3;2;français;Le comité;a demandé;que;le banquier;de la grande entreprise;ne vende;;avec un crédit défectueux ;;.;;;;
3;3;français;Le comité;a demandé;à ce que;le banquier;de la grande entreprise;ne vende;une hypothèque;avec un crédit défectueux ;;.;;;;
3;4;français;Le comité;a demandé;à ce que;le banquier;de la grande entreprise;ne vende;;avec un crédit défectueux ;;.;;;;
3;9;français;Le comité;a demandé;qu'avant que;le banquier;;ne vende;une hypothèque;avec un crédit défectueux ;le règlement entre en vigueur;.;;;;
3;10;français;Le comité;a demandé;qu'avant que;le banquier;;ne vende;;avec un crédit défectueux ;le règlement entre en vigueur;.;;;;
3;11;français;Le comité;a demandé;à qu'avant ce que;le banquier;;ne vende;une hypothèque;avec un crédit défectueux ;le règlement entre en vigueur;.;;;;
3;12;français;Le comité;a demandé;à qu'avant ce que;le banquier;;ne vende;;avec un crédit défectueux ;le règlement entre en vigueur;.;;;;
4;1;français;Le premier partenaire;a dit;que;le marin;en veste de pluie;a tiré;une corde ;de toutes ses forces ;;.;;;;
4;2;français;Le premier partenaire;a dit;que;le marin;en veste de pluie;a tiré;;de toutes ses forces ;;.;;;;
4;3;français;Le premier partenaire;a dit;ce que;le marin;en veste de pluie;a tiré;une corde ;de toutes ses forces ;;.;;;;
4;4;français;Le premier partenaire;a dit;ce que;le marin;en veste de pluie;a tiré;;de toutes ses forces ;;.;;;;
4;9;français;Le premier partenaire;a dit;que pendant que;le marin;;ait tiré;une corde ;de toutes ses forces ;le capitaine serrait la roue .;.;;;;
4;10;français;Le premier partenaire;a dit;que pendant que;le marin;;ait tiré;;de toutes ses forces ;le capitaine serrait la roue .;.;;;;
4;11;français;Le premier partenaire;a dit;que pendant ce que;le marin;;ait tiré;une corde ;de toutes ses forces ;le capitaine serrait la roue .;.;;;;
4;12;français;Le premier partenaire;a dit;que pendant ce que;le marin;;ait tiré;;de toutes ses forces ;le capitaine serrait la roue .;.;;;;
5;1;français;Le journal;a déclaré;que;le footballeur;de l'équipe rivale;a marqué;un but ;durant le championnat ;;.;;;;
5;2;français;Le journal;a déclaré;que;le footballeur;de l'équipe rivale;a marqué;;durant le championnat ;;.;;;;
5;3;français;Le journal;a déclaré;ce que;le footballeur;de l'équipe rivale;a marqué;un but ;durant le championnat ;;.;;;;
5;4;français;Le journal;a déclaré;ce que;le footballeur;de l'équipe rivale;a marqué;;durant le championnat ;;.;;;;
5;9;français;Le journal;a déclaré;qu'après que;le footballeur;;ait marqué;un but ;durant le championnat ; les fans se sont révoltés ;.;;;;
5;10;français;Le journal;a déclaré;qu'après que;le footballeur;;ait marqué;;durant le championnat ; les fans se sont révoltés ;.;;;;
5;11;français;Le journal;a déclaré;qu'après ce que;le footballeur;;ait marqué;un but ;durant le championnat ; les fans se sont révoltés ;.;;;;
5;12;français;Le journal;a déclaré;qu'après ce que;le footballeur;;ait marqué;;durant le championnat ; les fans se sont révoltés ;.;;;;
6;1;français;Le mari;a vu;que;la femme de ménage;du nouveau service de nettoyage;a cassé;un vase ;dans le couloir ;;.;;;;
6;2;français;Le mari;a vu;que;la femme de ménage;du nouveau service de nettoyage;a cassé;;dans le couloir ;;.;;;;
6;3;français;Le mari;a vu;ce que;la femme de ménage;du nouveau service de nettoyage;a cassé;un vase ;dans le couloir ;;.;;;;
6;4;français;Le mari;a vu;ce que;la femme de ménage;du nouveau service de nettoyage;a cassé;;dans le couloir ;;.;;;;
6;9;français;Le mari;a vu;qu'après que;la femme de ménage;;ait cassé;un vase ;dans le couloir ;la femme s'est coupé le pied ;.;;;;
6;10;français;Le mari;a vu;qu'après que;la femme de ménage;;ait cassé;;dans le couloir ;la femme s'est coupé le pied ;.;;;;
6;11;français;Le mari;a vu;qu'après ce que;la femme de ménage;;ait cassé;un vase ;dans le couloir ;la femme s'est coupé le pied ;.;;;;
6;12;français;Le mari;a vu;qu'après ce que;la femme de ménage;;ait cassé;;dans le couloir ;la femme s'est coupé le pied ;.;;;;
7;1;français;L'administrateur;a découvert;que;les étudiants;qui étaient tous très diligents;ont écrit;sur la philosophie ;pour leur mémoire ;;.;;;;
7;2;français;L'administrateur;a découvert;que;les étudiants;qui étaient tous très diligents;ont écrit;;pour leur mémoire ;;.;;;;
7;3;français;L'administrateur;a découvert;ce que;les étudiants;qui étaient tous très diligents;ont écrit;sur la philosophie ;pour leur mémoire ;;.;;;;
7;4;français;L'administrateur;a découvert;ce que;les étudiants;qui étaient tous très diligents;ont écrit;;pour leur mémoire ;;.;;;;
7;9;français;L'administrateur;a découvert;qu'après que;les étudiants;;aient écrit;sur la philosophie ;pour leur mémoire ;le professeur était impressionné ;.;;;;
7;10;français;L'administrateur;a découvert;qu'après que;les étudiants;;aient écrit;;pour leur mémoire ;le professeur était impressionné ;.;;;;
7;11;français;L'administrateur;a découvert;qu'après ce que;les étudiants;;aient écrit;sur la philosophie ;pour leur mémoire ;le professeur était impressionné ;.;;;;
7;12;français;L'administrateur;a découvert;qu'après ce que;les étudiants;;aient écrit;;pour leur mémoire ;le professeur était impressionné ;.;;;;
8;1;français;Ma mère;s'est souvenue;que;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;son chat ;de l'immeuble en flammes ;;.;;;;
8;2;français;Ma mère;s'est souvenue;que;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;;de l'immeuble en flammes ;;.;;;;
8;3;français;Ma mère;s'est souvenue;ce que;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;son chat ;de l'immeuble en flammes ;;.;;;;
8;4;français;Ma mère;s'est souvenue;ce que;le pompier;qui a récemment commencé à travailler pour le département;a sauvé;;de l'immeuble en flammes ;;.;;;;
8;9;français;Ma mère;s'est souvenue;qu'après que;le pompier;;ait sauvé;son chat ;de l'immeuble en flammes ;la dame a failli avoir une crise cardiaque.;.;;;;
8;10;français;Ma mère;s'est souvenue;qu'après que;le pompier;;ait sauvé;;de l'immeuble en flammes ;la dame a failli avoir une crise cardiaque.;.;;;;
8;11;français;Ma mère;s'est souvenue;qu'après ce que;le pompier;;ait sauvé;son chat ;de l'immeuble en flammes ;la dame a failli avoir une crise cardiaque.;.;;;;
8;12;français;Ma mère;s'est souvenue;qu'après ce que;le pompier;;ait sauvé;;de l'immeuble en flammes ;la dame a failli avoir une crise cardiaque.;.;;;;
9;1;français;Notre ami;a dit;que;le client;qui n'avait jamais possédé de véhicule auparavant;a acheté;la nouvelle voiture ;à crédit ;;.;;;;
9;2;français;Notre ami;a dit;que;le client;qui n'avait jamais possédé de véhicule auparavant;a acheté;;à crédit ;;.;;;;
9;3;français;Notre ami;a dit;ce que;le client;qui n'avait jamais possédé de véhicule auparavant;a acheté;la nouvelle voiture ;à crédit ;;.;;;;
9;4;français;Notre ami;a dit;ce que;le client;qui n'avait jamais possédé de véhicule auparavant;a acheté;;à crédit ;;.;;;;
